Creating keycloak ... 
[1A[2KCreating keycloak ... [32mdone[0m[1BAttaching to keycloak
[36mkeycloak        |[0m Updating the configuration and installing your custom providers, if any. Please wait.
[36mkeycloak        |[0m 2023-04-07 22:19:15,211 INFO  [io.quarkus.deployment.QuarkusAugmentor] (main) Quarkus augmentation completed in 17286ms
[36mkeycloak        |[0m 2023-04-07 22:19:17,924 INFO  [org.keycloak.quarkus.runtime.hostname.DefaultHostnameProvider] (main) Hostname settings: Base URL: <unset>, Hostname: <request>, Strict HTTPS: false, Path: <request>, Strict BackChannel: false, Admin URL: <unset>, Admin: <request>, Port: -1, Proxied: true
[36mkeycloak        |[0m 2023-04-07 22:19:20,358 WARN  [io.quarkus.agroal.runtime.DataSources] (main) Datasource <default> enables XA but transaction recovery is not enabled. Please enable transaction recovery by setting quarkus.transaction-manager.enable-recovery=true, otherwise data may be lost if the application is terminated abruptly
[36mkeycloak        |[0m 2023-04-07 22:19:22,006 WARN  [org.infinispan.CONFIG] (keycloak-cache-init) ISPN000569: Unable to persist Infinispan internal caches as no global state enabled
[36mkeycloak        |[0m 2023-04-07 22:19:22,051 WARN  [org.infinispan.PERSISTENCE] (keycloak-cache-init) ISPN000554: jboss-marshalling is deprecated and planned for removal
[36mkeycloak        |[0m 2023-04-07 22:19:22,081 INFO  [org.infinispan.CONTAINER] (keycloak-cache-init) ISPN000556: Starting user marshaller 'org.infinispan.jboss.marshalling.core.JBossUserMarshaller'
[36mkeycloak        |[0m 2023-04-07 22:19:22,798 INFO  [org.infinispan.CONTAINER] (keycloak-cache-init) ISPN000128: Infinispan version: Infinispan 'Triskaidekaphobia' 13.0.10.Final
[36mkeycloak        |[0m 2023-04-07 22:19:23,671 INFO  [org.keycloak.connections.infinispan.DefaultInfinispanConnectionProviderFactory] (main) Node name: node_669884, Site name: null
[36mkeycloak        |[0m 2023-04-07 22:19:23,678 INFO  [org.keycloak.broker.provider.AbstractIdentityProviderMapper] (main) Registering class org.keycloak.broker.provider.mappersync.ConfigSyncEventListener
[36mkeycloak        |[0m 2023-04-07 22:19:25,182 INFO  [io.quarkus] (main) Keycloak 20.0.3 on JVM (powered by Quarkus 2.13.6.Final) started in 9.803s. Listening on: http://0.0.0.0:8989
[36mkeycloak        |[0m 2023-04-07 22:19:25,184 INFO  [io.quarkus] (main) Profile dev activated. 
[36mkeycloak        |[0m 2023-04-07 22:19:25,186 INFO  [io.quarkus] (main) Installed features: [agroal, cdi, hibernate-orm, jdbc-h2, jdbc-mariadb, jdbc-mssql, jdbc-mysql, jdbc-oracle, jdbc-postgresql, keycloak, logging-gelf, narayana-jta, reactive-routes, resteasy, resteasy-jackson, smallrye-context-propagation, smallrye-health, smallrye-metrics, vault, vertx]
[36mkeycloak        |[0m 2023-04-07 22:19:25,251 ERROR [org.keycloak.services] (main) KC-SERVICES0010: Failed to add user 'admin' to realm 'master': user with username exists
[36mkeycloak        |[0m 2023-04-07 22:19:25,253 WARN  [org.keycloak.quarkus.runtime.KeycloakMain] (main) Running the server in development mode. DO NOT use this configuration in production.
[36mkeycloak        |[0m 2023-04-07 22:25:17,791 WARN  [org.keycloak.events] (executor-thread-0) type=LOGOUT_ERROR, realmId=d6e1c6d0-5944-4410-9096-c79afca41e0d, clientId=null, userId=null, ipAddress=10.0.2.2, error=session_expired, authSessionParentId=e4b74204-d313-4e87-ac39-a7925596dea1, authSessionTabId=YAX2Ersr8xw
[36mkeycloak        |[0m 2023-04-07 22:25:43,516 WARN  [org.keycloak.protocol.oidc.endpoints.LogoutEndpoint] (executor-thread-0) Either the parameter 'client_id' or the parameter 'id_token_hint' is required when 'post_logout_redirect_uri' is used.
[36mkeycloak        |[0m 2023-04-07 22:25:43,566 WARN  [org.keycloak.events] (executor-thread-0) type=LOGOUT_ERROR, realmId=d6e1c6d0-5944-4410-9096-c79afca41e0d, clientId=null, userId=null, ipAddress=10.0.2.2, error=invalid_request
[36mkeycloak        |[0m 2023-04-07 22:26:12,111 WARN  [org.keycloak.events] (executor-thread-2) type=LOGIN_ERROR, realmId=d6e1c6d0-5944-4410-9096-c79afca41e0d, clientId=anywebappclient, userId=93aae7ea-f145-46e4-b5bb-91be12f96159, ipAddress=10.0.2.2, error=invalid_user_credentials, auth_method=openid-connect, auth_type=code, redirect_uri=http://localhost:4200/silent-refresh.html, code_id=0b229493-d3fc-4db2-9ec5-8b5ee81fa7f9, username=admin1, authSessionParentId=0b229493-d3fc-4db2-9ec5-8b5ee81fa7f9, authSessionTabId=raZrFf9IbQE
